//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:58:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      150     1116        -        -        71543.752          136		1
  0  00      157     1077        -        -        73129.992          137		1
  0  00      158     1047        -        -        73401.456          138		1
  0  00      156     1111        -        -        73926.992          139		1
  0  00      161     1064        -        -        74313.616          140		1
  0  00      158     1006        -        -        74372.544          141		1
  0  00      219     1669        -        -        75043.744          142		1
  0  00      440     3655        -        -        75196.176          143		1
  0  00      123     1032        -        -        75897.768          144		1
  0  00      141     1008        -        -        76239.832          145		1
  0  00      167     1126        -        -        76310.592          146		1
  0  00      151     1102        -        -        76688.096          147		1
  0  00      143     1083        -        -        76952.672          148		1
  0  00      779     6236        -        -        77414.152          149		1
  0  00      513     4138        -        -        77524.640          150		1
  0  00      165     1063   1843.5     24.5        78214.384          151		1
  0  00      167     1118        -        -        78289.704          153		1
  0  00      325     2666        -        -        79021.616          154		1
  0  00      161     1029        -        -        79398.896          155		1
  0  00      151     1007        -        -        79843.248          156		1
  0  00      148     1017        -        -        81888.536          157		1
  0  00      150     1087        -        -        82364.296          158		1
  0  00      289     2056        -        -        82421.304          159		1
  0  00      142     1151        -        -        82433.096          160		1
  0  00      164     1036        -        -        82697.752          161		1
  0  00      172     1120        -        -        83138.784          162		1
  0  00      159     1020        -        -        83247.248          163		1
  0  00      147     1080        -        -        83549.640          164		1
  0  00      647     5243        -        -        84121.624          165		1
  0  00      144     1064        -        -        84392.688          166		1
  0  00      222     1602        -        -        84924.600          167		1
  0  00      140     1033        -        -        85063.040          168		1
  0  00      159     1087        -        -        85204.000          169		1
  0  00      152     1008        -        -        86587.000          170		1
  0  00      149     1063        -        -        86848.168          171		1
  0  00      211     1435        -        -        87939.832          172		1
  0  00      145      997        -        -        88105.784          173		1
  0  00      331     2336        -        -        88929.328          174		1
  0  00      137     1066        -        -        89031.976          175		1
  0  00      148     1049        -        -        89190.736          176		1
  0  00      143     1064        -        -        89928.000          177		1
  0  00      133     1094        -        -        90012.392          178		1
  0  00      155     1120        -        -        91506.880          179		1
  0  00      145     1014        -        -        91648.448          180		1
  0  00      142     1032        -        -        91944.888          182		1
  0  00      143     1084        -        -        92276.248          183		1
  0  00      148     1084        -        -        93562.920          184		1
  0  00      199     1523        -        -        94344.472          185		1
  0  00      188     1424        -        -        95691.448          186		1
  0  00      158     1073        -        -        96288.608          188		1
  0  00      134     1133        -        -        97229.880          189		1
  0  00      166     1246        -        -        97302.544          190		1
  0  00      228     1585        -        -        97402.496          191		1
  0  00      289     2301        -        -        97503.696          192		1
