//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:59:55 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      414     3089        -        -         5903.584            0		1
  0  00      213     1552        -        -         6643.368            1		1
  0  00      199     1617        -        -         7105.784            2		1
  0  00      383     2785        -        -         8624.256            3		1
  0  00     1245     8061        -        -        11343.304            4		1
  0  00      351     2716        -        -        13283.432            5		1
  0  00      276     2110        -        -        47148.552            6		1
  0  00      834     6615        -        -        47844.744            7		1
  0  00      534     4233        -        -        48281.416            8		1
  0  00      716     5591        -        -        57484.880            9		1
  0  00      419     3281        -        -        69716.648           10		1
  0  00      449     3661        -        -        70763.336           11		1
  0  00      277     2086        -        -        71017.848           12		1
  0  00      583     4689        -        -        72396.168           13		1
  0  00      648     5131        -        -        76116.912           14		1
  0  00      332     2575        -        -        78841.520           15		1
  0  00      517     4045        -        -        88113.744           16		1
  0  00      333     2662        -        -        90157.256           17		1
  0  00      223     1567        -        -        91042.976           18		1
  0  00      282     2145        -        -        91286.440           19		1
  0  00      578     4818        -        -        97320.000           20		1
  0  00      479     3714        -        -       101684.344           21		1
  0  00      451     3617        -        -       114975.952           22		1
  0  00      248     2099        -        -       118944.992           23		1
  0  00      285     2153        -        -       129360.824           24		1
  0  00      264     2046        -        -       132663.752           25		1
  0  00      360     2785        -        -       135532.800           26		1
  0  00      469     3665        -        -       139319.832           27		1
  0  00      263     2039        -        -       141671.096           28		1
  0  00      809     6567        -        -       152992.936           29		1
  0  00      476     3648        -        -       154066.904           30		1
  0  00      417     3173        -        -       164033.176           31		1
  0  00      436     3292        -        -       169794.096           32		1
  0  00      467     3731        -        -       178900.552           33		1
  0  00      384     3043        -        -       190159.560           34		1
  0  00      346     2646        -        -       193780.144           35		1
  0  00      214     1607        -        -       199486.248           36		1
  0  00      223     1791        -        -       210393.048           37		1
  0  00      306     2282        -        -       212155.504           38		1
  0  00      528     4233        -        -       220204.224           39		1
  0  00      342     2675        -        -       220684.424           40		1
  0  00      421     3140        -        -       223816.352           41		1
  0  00      208     1621        -        -       230336.136           42		1
  0  00      458     3673        -        -       236906.136           43		1
  0  00      200     1718        -        -       240352.800           44		1
  0  00      340     2657        -        -       241418.880           45		1
  0  00      287     2225        -        -       247192.288           46		1
  0  00      419     3123        -        -       250291.904           47		1
  0  00      267     2049        -        -       253950.248           48		1
  0  00      650     5183        -        -       261492.640           49		1
  0  00      475     3871        -        -       263336.368           50		1
  0  00      321     2578        -        -       266349.568           51		1
  0  00      276     2087        -        -       269179.208           52		1
  0  00      207     1612        -        -       278069.856           53		1
  0  00      199     1578        -        -       286378.592           54		1
  0  00      346     2601        -        -       287138.536           55		1
  0  00      202     1625        -        -       287977.240           56		1
  0  00      509     4103        -        -       302512.464           57		1
  0  00      296     2203        -        -       303485.144           58		1
  0  00      579     4572        -        -       313631.680           59		1
  0  00      395     3126        -        -       315615.024           60		1
  0  00      291     2342        -        -       316133.744           61		1
  0  00      654     5109        -        -       323781.608           62		1
  0  00      341     2667        -        -       327596.920           63		1
  0  00      396     3106        -        -       330158.568           64		1
  0  00      664     5313        -        -       334732.336           65		1
  0  00      214     1634        -        -       338004.368           66		1
  0  00      684     5808        -        -       339847.016           67		1
  0  00      430     3352        -        -       339951.152           68		1
  0  00      211     1571        -        -       343419.624           69		1
  0  00      543     4336        -        -       345775.112           70		1
  0  00     1051     8061        -        -       348697.400           71		1
  0  00      536     4380        -        -       352176.344           72		1
  0  00      348     2564        -        -       372913.856           73		1
  0  00      371     3190        -        -       375327.296           74		1
  0  00      536     4547        -        -       375473.504           75		1
  0  00      585     4565        -        -       378267.328           76		1
  0  00      302     2122        -        -       378338.720           77		1
  0  00      208     1546        -        -       391746.472           78		1
  0  00      211     1600        -        -       396027.944           79		1
  0  00      355     2564        -        -       402373.600           80		1
  0  00      257     2080        -        -       404058.272           81		1
