//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:59:15 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      167     1243        -        -         1377.432            0		1
  0  00      499     4125        -        -        10770.272            1		1
  0  00      217     1607        -        -        12241.224            2		1
  0  00      151     1103        -        -        17127.848            3		1
  0  00      171     1055        -        -        27504.960            4		1
  0  00      277     2043        -        -        27795.088            5		1
  0  00      475     3647        -        -        30088.272            6		1
  0  00      647     5125        -        -        30746.184            7		1
  0  00      139     1122        -        -        31079.520            8		1
  0  00      169     1054        -        -        31334.112            9		1
  0  00      149     1046        -        -        38460.768           10		1
  0  00      219     1641        -        -        51915.992           11		1
  0  00      220     1564        -        -        54006.448           12		1
  0  00      157     1091        -        -        54565.024           13		1
  0  00      237     1673        -        -        61081.320           14		1
  0  00      150     1110        -        -        69899.512           15		1
  0  00      281     2127        -        -        72608.856           16		1
  0  00      180     1261        -        -        73920.880           17		1
  0  00      146     1128        -        -        74043.088           18		1
  0  00      172     1070        -        -        80082.352           19		1
  0  00      148     1166        -        -        80336.288           20		1
  0  00      164     1155        -        -        83127.664           21		1
  0  00      156     1066        -        -        87182.552           22		1
  0  00      168     1243        -        -        89343.520           23		1
  0  00      187     1336        -        -        90632.936           24		1
  0  00      328     2624        -        -        91613.856           25		1
  0  00      174     1063        -        -        93155.888           26		1
  0  00      283     2047        -        -        94703.656           27		1
  0  00      170     1406        -        -       100075.840           28		1
  0  00      167     1202        -        -       100279.104           29		1
  0  00      216     1595        -        -       104637.216           30		1
  0  00      160     1220        -        -       105305.504           31		1
  0  00      174     1218        -        -       107834.952           32		1
  0  00      146     1087        -        -       108485.232           33		1
  0  00      223     1631        -        -       112554.104           34		1
  0  00      346     2668        -        -       113542.904           35		1
  0  00      262     2064        -        -       114652.656           36		1
  0  00      357     2824        -        -       116421.640           37		1
  0  00      208     1518        -        -       121030.600           38		1
  0  00      149     1071        -        -       121397.736           39		1
  0  00      443     3641        -        -       122832.832           40		1
  0  00      253     2142        -        -       124269.648           41		1
  0  00      151     1082        -        -       125563.832           42		1
  0  00      154     1080        -        -       131717.296           43		1
  0  00      535     4127        -        -       132166.672           44		1
  0  00      175     1178        -        -       133124.624           45		1
  0  00      165     1048        -        -       133383.536           46		1
  0  00      160     1058        -        -       136328.160           47		1
  0  00      358     2631        -        -       137595.472           48		1
  0  00      134     1047        -        -       142065.736           49		1
  0  00      220     1580        -        -       155743.544           50		1
  0  00      233     1592        -        -       158101.608           51		1
  0  00      178     1307        -        -       159660.688           52		1
  0  00      155     1116        -        -       160722.080           53		1
  0  00      505     4051        -        -       163483.080           54		1
  0  00      217     1554        -        -       164090.552           55		1
  0  00      160     1125        -        -       165233.792           56		1
  0  00      354     2727        -        -       167309.808           57		1
  0  00      551     4301        -        -       170706.952           58		1
  0  00      177     1107        -        -       173446.984           59		1
  0  00      578     4611        -        -       179108.904           60		1
  0  00      273     1992        -        -       179222.296           61		1
  0  00      173     1369        -        -       179313.168           62		1
  0  00      259     2180        -        -       179876.592           63		1
  0  00      337     2670        -        -       182036.080           64		1
  0  00      295     2350        -        -       182252.368           65		1
  0  00      145     1061        -        -       184961.824           66		1
