//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:58:31 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00       78      512        -        -            8.600            0		1
  0  00       84      544        -        -          160.800            1		1
  0  00      103      498        -        -          195.488            2		1
  0  00       91      518        -        -          209.720            3		1
  0  00       97      486        -        -          238.552            5		1
  0  00       80      438        -        -          295.456            7		1
  0  00       82      491        -        -          329.952            8		1
  0  00      109      528        -        -          348.080            9		1
  0  00       78      465        -        -          392.080           11		1
  0  00       96      545        -        -          451.296           12		1
  0  00       93      485        -        -          495.832           13		1
  0  00       98      500        -        -          517.040           14		1
  0  00       88      524        -        -          543.240           15		1
  0  00       87      540        -        -          573.808           16		1
  0  00       74      452        -        -          588.168           18		1
  0  00       93      488        -        -          610.328           19		1
  0  00       86      489        -        -          649.896           20		1
  0  00       88      530   1090.0     24.0          683.264           21		1
  0  00       91      529        -        -          734.248           23		1
  0  00       95      435        -        -          744.776           25		1
  0  00       78      454        -        -          775.536           27		1
  0  00       79      545        -        -          788.304           28		1
  0  00      110      507        -        -          803.480           32		1
  0  00       90      493        -        -          829.592           34		1
  0  00       94      537        -        -          872.888           38		1
  0  00       96      489        -        -          907.232           40		1
  0  00       91      513        -        -          937.512           42		1
  0  00      100      546        -        -          961.088           44		1
  0  00       80      536        -        -          998.240           45		1
  0  00       91      494        -        -         1035.128           46		1
  0  00       99      594        -        -         1067.984           47		1
  0  00       84      585        -        -         1094.704           48		1
  0  00       95      482        -        -         1166.528           49		1
  0  00       95      545        -        -         1195.752           50		1
  0  00      135      975        -        -         1234.920           51		1
  0  00      100      549        -        -         1245.896           53		1
  0  00       87      649    575.5     17.0         1276.296           54		1
  0  00       99      537        -        -         1302.056           56		1
  0  00       77      538        -        -         1313.568           58		1
  0  00       85      541        -        -         1342.392           59		1
  0  00       88      487   1754.0     24.5         1360.552           60		1
  0  00       91      484        -        -         1381.032           62		1
  0  00       79      526        -        -         1423.616           63		1
  0  00       64      477        -        -         1438.040           65		1
  0  00       66      457        -        -         1470.248           67		1
  0  00       98      530        -        -         1489.632           70		1
  0  00      119      831        -        -         1500.432           72		1
  0  00      100      469        -        -         1522.112           74		1
  0  00       79      507        -        -         1541.968           75		1
  0  00       99      504        -        -         1565.624           76		1
  0  00       76      527        -        -         1579.592           77		1
  0  00       82      519        -        -         1596.432           78		1
  0  00       98      501   1274.0     44.5         1609.112           80		1
  0  00       88      556        -        -         1622.648           82		1
  0  00      102      457        -        -         1671.512           83		1
  0  00       94      509        -        -         1693.096           84		1
  0  00       82      510        -        -         1706.384           86		1
  0  00       92      524        -        -         1727.048           87		1
  0  00       85      521        -        -         1750.040           88		1
  0  00       85      534        -        -         1813.768           89		1
  0  00       90      506        -        -         1842.088           91		1
  0  00       91      655   1393.0     25.5         1854.912           92		1
  0  00       97      469        -        -         1866.568           95		1
  0  00       93      558        -        -         1930.280           98		1
  0  00       79      449        -        -         1951.616           99		1
