//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:00:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00       48      561        -        -           16.152            0		1
  0  00       50      932        -        -           74.640            1		1
  0  00       46      519        -        -          106.456            4		1
  0  00       34      550        -        -          119.136            5		1
  0  00       47      536        -        -          153.608            6		1
  0  00       52      494        -        -          184.128            7		1
  0  00       48      511        -        -          202.936            9		1
  0  00       42      489        -        -          214.528           12		1
  0  00       40      480        -        -          238.536           14		1
  0  00       49      551        -        -          249.664           15		1
  0  00       49      460        -        -          273.424           16		1
  0  00       47      474        -        -          289.240           17		1
  0  00       55      466        -        -          311.160           20		1
  0  00       53      489        -        -          325.800           21		1
  0  00       50      507        -        -          339.728           22		1
  0  00       50      491        -        -          353.384           23		1
  0  00       52      491        -        -          367.136           27		1
  0  00       55      546        -        -          394.672           28		1
  0  00       46      578    914.5     22.0          405.376           29		1
  0  00       50      477        -        -          435.744           31		1
  0  00       43      489        -        -          460.680           32		1
  0  00       35      473        -        -          489.960           33		1
  0  00       46      517        -        -          515.128           35		1
  0  00       46      447        -        -          532.472           38		1
  0  00       46      510        -        -          554.288           40		1
  0  00       41      445        -        -          581.912           41		1
  0  00       40      540        -        -          645.504           43		1
  0  00       60      544        -        -          684.208           45		1
  0  00       60      999        -        -          695.104           46		1
  0  00       43      503        -        -          720.480           48		1
  0  00       54      447        -        -          792.816           51		1
  0  00       45      508   1370.5     15.0          806.904           53		1
  0  00       54      500    905.5     21.5          821.456           55		1
  0  00       37      522        -        -          835.440           57		1
  0  00       53      615        -        -          881.872           61		1
  0  00       42      475        -        -          895.624           62		1
  0  00       46      435        -        -          907.584           63		1
  0  00       51      868        -        -          973.480           64		1
  0  00       48      488        -        -         1029.840           68		1
  0  00       42      467        -        -         1043.400           70		1
  0  00       36      465   1206.0     21.5         1060.160           72		1
  0  00       47      467    723.5     10.5         1083.960           74		1
  0  00       63      473        -        -         1103.808           77		1
  0  00       48      540        -        -         1151.552           80		1
  0  00       47      484        -        -         1170.472           81		1
  0  00       44      512        -        -         1186.352           82		1
  0  00       50      519        -        -         1210.888           83		1
  0  00       67      540        -        -         1252.456           84		1
