//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:09:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      204     1602        -        -         1781.760            0		1
  0  00      229     1820        -        -         7044.760            1		1
  0  00      326     2436        -        -        17012.560            2		1
  0  00      910     7210        -        -        32765.760            3		1
  0  00      306     2431        -        -        37736.376            4		1
  0  00      218     1488        -        -        44644.512            5		1
  0  00      261     2182        -        -        48216.832            6		1
  0  00      264     1970        -        -        57226.952            7		1
  0  00      444     3369        -        -        59464.448            8		1
  0  00      488     3841        -        -        61503.952            9		1
  0  00      315     2408        -        -        62569.232           10		1
  0  00      250     1981        -        -        68914.808           11		1
  0  00      396     3125        -        -        76760.160           12		1
  0  00      484     3847        -        -        79413.608           13		1
  0  00      368     2851        -        -        83961.768           14		1
  0  00      671     5413        -        -        95622.336           15		1
  0  00      204     1563        -        -        98176.224           16		1
  0  00      301     2392        -        -       102625.376           17		1
  0  00      598     4836        -        -       124101.184           18		1
  0  00      194     1492        -        -       183093.376           19		1
  0  00      366     2865        -        -       191911.352           20		1
  0  00      371     2876        -        -       192524.336           21		1
  0  00      272     1991        -        -       199945.576           22		1
  0  00      300     2399        -        -       202047.896           23		1
  0  00      511     4019        -        -       203700.592           24		1
  0  00      330     2476        -        -       217067.864           25		1
  0  00      929     7475        -        -       221144.048           26		1
  0  00      189     1463        -        -       221699.504           27		1
  0  00      892     7120        -        -       229513.784           28		1
  0  00      333     2412        -        -       230394.392           29		1
  0  00      376     2906        -        -       236944.768           30		1
  0  00      511     3964        -        -       239399.000           31		1
  0  00      212     1495        -        -       243154.568           32		1
  0  00      710     5583        -        -       262362.728           33		1
  0  00      215     1593        -        -       284467.200           34		1
  0  00      396     2876        -        -       302021.888           35		1
  0  00      209     1509        -        -       308449.864           36		1
  0  00     1058     8061        -        -       308987.584           37		1
  0  00      280     2347        -        -       312211.072           38		1
  0  00      493     3838        -        -       330292.960           39		1
  0  00      408     3104        -        -       336811.304           40		1
  0  00      472     3959        -        -       341516.872           41		1
  0  00      322     2440        -        -       349160.040           42		1
  0  00      398     2889        -        -       352773.512           43		1
  0  00      794     6481        -        -       354321.472           44		1
  0  00      500     4118        -        -       358147.192           45		1
  0  00      590     4704        -        -       363904.896           46		1
  0  00      193     1535        -        -       376585.544           47		1
  0  00      422     3328        -        -       405511.944           48		1
  0  00      189     1616        -        -       410859.376           49		1
  0  00     1072     8061        -        -       413493.640           50		1
  0  00      255     1934        -        -       429719.936           51		1
  0  00      201     1492        -        -       436567.624           52		1
  0  00      540     4144        -        -       436808.544           53		1
  0  00      841     6742        -        -       440013.824           54		1
  0  00      199     1506        -        -       449689.928           55		1
  0  00      313     2421        -        -       451442.736           56		1
  0  00      305     2398        -        -       459494.384           57		1
  0  00      436     3484        -        -       472548.768           58		1
  0  00      421     3131        -        -       481231.840           59		1
  0  00      259     2014        -        -       501085.952           60		1
  0  00      357     2813        -        -       508565.848           61		1
  0  00      256     1921        -        -       509708.864           62		1
  0  00      250     1968        -        -       513275.232           63		1
  0  00      567     4287        -        -       525550.408           64		1
  0  00      247     1929        -        -       528928.840           65		1
  0  00      263     2015        -        -       538290.744           66		1
  0  00      371     3013        -        -       544860.008           67		1
  0  00      452     3614        -        -       549216.040           68		1
  0  00      567     4462        -        -       551578.264           69		1
  0  00      674     5297        -        -       564755.400           70		1
  0  00      215     1637        -        -       577008.760           71		1
  0  00      452     3874        -        -       584971.712           72		1
  0  00      251     1957        -        -       590063.576           73		1
  0  00      418     3358        -        -       596439.736           74		1
  0  00      564     4379        -        -       604748.384           75		1
  0  00      330     2474        -        -       606546.136           76		1
  0  00      380     2980        -        -       636882.960           77		1
  0  00      422     3401        -        -       650861.232           78		1
  0  00      533     4245        -        -       653595.648           79		1
