//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:03:20 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      461     3487        -        -       964916.320          131		1
  0  00      255     1902        -        -       968379.544          132		1
  0  00      246     1854        -        -       980495.712          133		1
  0  00      409     3398        -        -       992949.888          134		1
  0  00      542     4349        -        -      1005973.336          135		1
  0  00      246     1930        -        -      1009428.872          136		1
  0  00      251     1909        -        -      1022493.976          137		1
  0  00      257     1902        -        -      1024981.720          138		1
  0  00      209     1656        -        -      1026675.968          139		1
  0  00      252     1905        -        -      1026700.528          140		1
  0  00      189     1498        -        -      1033036.864          141		1
  0  00      412     3231        -        -      1034976.256          142		1
  0  00      601     4904        -        -      1037511.896          143		1
  0  00      189     1455        -        -      1049803.128          144		1
  0  00      234     1860        -        -      1054410.648          145		1
  0  00      363     2852        -        -      1057410.832          146		1
  0  00      177     1447        -        -      1062567.208          147		1
  0  00      194     1433        -        -      1062703.608          148		1
  0  00      321     2658        -        -      1070982.488          149		1
  0  00      192     1436        -        -      1072115.816          150		1
  0  00      177     1457        -        -      1085458.504          151		1
  0  00      316     2406        -        -      1093317.352          152		1
  0  00      325     2479        -        -      1094961.576          153		1
  0  00      165     1363        -        -      1096668.664          154		1
  0  00      216     1830        -        -      1098304.120          155		1
  0  00      265     2078        -        -      1122733.872          156		1
  0  00      422     3328        -        -      1151167.160          157		1
  0  00      487     3828        -        -      1155992.800          158		1
  0  00      198     1538        -        -      1163811.440          159		1
  0  00      179     1421        -        -      1167884.984          160		1
  0  00      317     2466        -        -      1188423.144          161		1
  0  00      362     2890        -        -      1190891.488          162		1
  0  00      210     1483        -        -      1201603.744          163		1
  0  00      297     2264        -        -      1208161.136          164		1
  0  00     1398     8061        -        -      1209564.616          165		1
  0  00      183     1464        -        -      1211114.856          166		1
  0  00      426     3390        -        -      1213149.016          167		1
  0  00      196     1638        -        -      1214254.880          168		1
  0  00      182     1479        -        -      1216486.536          169		1
  0  00      377     2960        -        -      1223602.688          170		1
  0  00      269     1943        -        -      1231489.040          171		1
  0  00      180     1479        -        -      1237269.464          172		1
  0  00      181     1435        -        -      1258492.160          173		1
  0  00      269     2368        -        -      1295350.240          174		1
  0  00      188     1417        -        -      1301551.160          175		1
  0  00      252     2097        -        -      1314043.864          176		1
  0  00      536     4264        -        -      1319709.832          177		1
  0  00      275     2098        -        -      1329097.840          178		1
  0  00      182     1432        -        -      1342223.712          179		1
  0  00      320     2593        -        -      1343973.320          180		1
  0  00      506     4011        -        -      1353260.200          181		1
  0  00      307     2345        -        -      1354715.936          182		1
  0  00      328     2408        -        -      1357303.768          183		1
  0  00      303     2646        -        -      1358239.824          184		1
  0  00      651     5210        -        -      1364899.576          185		1
  0  00      415     3343        -        -      1368033.576          186		1
  0  00      186     1714        -        -      1368261.592          187		1
  0  00      213     1838        -        -      1374100.360          188		1
  0  00      389     3176        -        -      1378209.848          189		1
  0  00      413     3353        -        -      1381703.000          190		1
  0  00      362     2887        -        -      1382337.424          191		1
  0  00      673     5431        -        -      1385607.176          192		1
  0  00      285     2349        -        -      1388861.496          193		1
  0  00      227     1916        -        -      1394086.328          194		1
  0  00      196     1525        -        -      1396037.720          195		1
  0  00      320     2521        -        -      1400867.816          196		1
  0  00      497     3872        -        -      1402122.320          197		1
  0  00      210     1697        -        -      1402648.296          198		1
  0  00      245     1899        -        -      1406096.208          199		1
  0  00      563     4452        -        -      1409839.008          200		1
  0  00      177     1467        -        -      1420409.560          201		1
  0  00      194     1507        -        -      1421412.136          202		1
  0  00      266     1985        -        -      1433165.024          203		1
  0  00      550     4401        -        -      1446008.704          204		1
  0  00      264     2181        -        -      1456845.200          205		1
  0  00      316     2432        -        -      1467485.488          206		1
  0  00      198     1413        -        -      1473300.136          207		1
  0  00     1292     8061        -        -      1473449.576          208		1
  0  00      267     1972        -        -      1476151.776          209		1
  0  00      378     3071        -        -      1490630.880          210		1
  0  00      428     3373        -        -      1520503.584          211		1
