//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:01:13 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      139     4011        -        -        12318.928            0		1
  0  00      109     2885        -        -        13353.792            1		1
  0  00       70     1402        -        -        18051.312            2		1
  0  00       98     2757        -        -        20340.464            3		1
  0  00       84     1944        -        -        21911.336            4		1
  0  00       83     1523        -        -        22529.080            5		1
  0  00       86     1446        -        -        22864.248            6		1
  0  00      130     3775        -        -        27002.344            7		1
  0  00      138     3869        -        -        27368.360            8		1
  0  00       63     1398        -        -        27917.760            9		1
  0  00      115     3117        -        -        28315.096           10		1
  0  00      116     3658        -        -        28549.896           11		1
  0  00      106     1913        -        -        28838.048           12		1
  0  00       84     2236        -        -        29354.536           13		1
  0  00      340     8061        -        -        29740.696           14		1
  0  00       81     1604        -        -        34599.936           15		1
  0  00       68     1507        -        -        44959.616           16		1
  0  00      101     2815        -        -        55588.000           17		1
  0  00      105     2569        -        -        59616.432           18		1
  0  00       96     2411        -        -        63814.192           19		1
  0  00       79     1870        -        -        63931.928           20		1
  0  00       84     1487        -        -        64345.184           21		1
  0  00       96     1980        -        -        66671.040           22		1
  0  00       97     2976        -        -        67275.112           23		1
  0  00       94     2368        -        -        90608.688           25		1
  0  00       80     1445        -        -        94888.120           26		1
  0  00      149     4410        -        -        96382.584           27		1
  0  00       71     1519        -        -        98855.768           28		1
  0  00       83     2731        -        -       106428.672           29		1
  0  00       91     1469        -        -       112069.240           30		1
  0  00      140     3925        -        -       120262.376           31		1
  0  00       83     1502        -        -       126428.832           32		1
  0  00       94     2380        -        -       128067.096           33		1
  0  00      183     5939        -        -       128528.632           34		1
  0  00       73     1637        -        -       132103.232           35		1
  0  00       71     1575        -        -       132652.120           36		1
  0  00       75     1537        -        -       134836.712           37		1
  0  00      156     5783        -        -       153055.736           38		1
  0  00      124     2877        -        -       155395.248           39		1
  0  00      120     3649        -        -       162004.240           40		1
  0  00       73     1561        -        -       182675.648           41		1
  0  00       71     1714        -        -       184298.600           42		1
  0  00       74     1419        -        -       188115.112           43		1
  0  00      173     5374        -        -       197061.928           44		1
  0  00       75     1469        -        -       198819.048           45		1
  0  00      107     2927        -        -       202358.488           46		1
  0  00       90     1979        -        -       218726.200           47		1
  0  00       71     1640        -        -       220609.080           48		1
  0  00       90     1421        -        -       221723.368           49		1
  0  00      100     2063        -        -       222529.752           50		1
  0  00       65     1165        -        -       234513.384           51		1
  0  00       70     1480        -        -       235521.496           52		1
  0  00      151     4447        -        -       236827.192           53		1
  0  00      122     3413        -        -       245806.928           54		1
  0  00      133     3986        -        -       249815.312           55		1
  0  00      190     5238        -        -       250906.072           56		1
  0  00      122     3058        -        -       262481.864           57		1
  0  00       70     1434        -        -       272162.688           58		1
  0  00      108     2421        -        -       277648.144           59		1
  0  00      129     2993        -        -       280058.464           60		1
  0  00       72     1293        -        -       281412.152           61		1
  0  00       91     2074        -        -       283083.512           62		1
  0  00       86     1640        -        -       291746.688           63		1
  0  00       85     1488        -        -       291776.048           64		1
  0  00       65     1465        -        -       295393.688           65		1
  0  00      105     2841        -        -       295986.976           66		1
  0  00      157     4467        -        -       302131.720           67		1
  0  00       99     2423        -        -       313983.208           68		1
  0  00       75     1855        -        -       322865.440           69		1
  0  00       97     2285        -        -       324715.472           70		1
  0  00       83     1670        -        -       328679.928           71		1
  0  00       67     1436        -        -       329963.208           72		1
  0  00      135     3879        -        -       333776.080           73		1
  0  00       90     1415        -        -       333887.112           74		1
  0  00       78     1438        -        -       336575.888           75		1
  0  00      122     2887        -        -       344039.232           76		1
  0  00      157     5192        -        -       345456.160           77		1
  0  00       66     1432        -        -       348596.832           78		1
  0  00       82     1411        -        -       357139.336           79		1
  0  00      113     2446        -        -       357726.784           80		1
  0  00       78     1941        -        -       360665.544           81		1
  0  00       89     2804        -        -       372636.232           82		1
  0  00      107     2377        -        -       382739.616           83		1
  0  00       88     1908        -        -       384441.000           84		1
  0  00      123     3559        -        -       395181.504           85		1
  0  00       94     1635        -        -       402827.624           86		1
  0  00       99     2418        -        -       403755.848           87		1
  0  00      123     3906        -        -       415592.616           88		1
  0  00       84     1950        -        -       417335.088           89		1
  0  00       96     2426        -        -       421688.936           90		1
  0  00      279     8061        -        -       429172.264           91		1
  0  00       85     1676        -        -       435004.432           92		1
  0  00       79     1470        -        -       436638.472           93		1
  0  00       83     1501        -        -       439599.832           94		1
  0  00       86     1842        -        -       450438.264           95		1
  0  00       78     1371        -        -       453489.400           96		1
  0  00      129     3011        -        -       454896.384           97		1
  0  00       66     1434        -        -       462659.176           98		1
  0  00       75     1917        -        -       466449.696           99		1
  0  00       74     1448        -        -       469122.720          100		1
  0  00       74     1475        -        -       473521.992          101		1
  0  00       87     1795        -        -       474662.144          102		1
  0  00      162     5259        -        -       484332.840          103		1
  0  00       83     2592        -        -       494838.088          104		1
  0  00       92     2568        -        -       498263.056          105		1
  0  00      265     8024        -        -       498744.824          106		1
  0  00       88     1957        -        -       503989.872          107		1
  0  00       87     1386        -        -       513695.896          108		1
  0  00       99     2464        -        -       518937.648          109		1
  0  00      105     3114        -        -       520851.600          110		1
  0  00      127     3561        -        -       531869.048          111		1
  0  00       91     2429        -        -       564609.992          112		1
  0  00       87     1463        -        -       571331.152          113		1
  0  00      105     2618        -        -       572992.608          114		1
  0  00       64     1390        -        -       574281.160          115		1
  0  00      143     4417        -        -       600285.776          116		1
  0  00       79     1873        -        -       611257.456          117		1
  0  00       76     1731        -        -       612205.024          118		1
  0  00      109     2911        -        -       623002.680          119		1
  0  00      148     3903        -        -       624074.744          120		1
  0  00       80     1697        -        -       625463.480          121		1
  0  00       76     1439        -        -       630673.248          122		1
  0  00       99     2372        -        -       636568.544          123		1
  0  00      122     3667        -        -       640899.952          124		1
  0  00      112     2395        -        -       644274.920          125		1
  0  00       73     1470        -        -       660739.288          126		1
  0  00       83     1396        -        -       661797.408          127		1
  0  00      105     2398        -        -       670009.384          128		1
  0  00       81     2006        -        -       679109.376          129		1
  0  00       77     1460        -        -       685212.840          130		1
  0  00       76     1500        -        -       686597.400          131		1
  0  00       88     1964        -        -       690694.184          132		1
  0  00       76     1404        -        -       691479.408          133		1
  0  00       74     1458        -        -       698905.600          134		1
  0  00       76     1447        -        -       701862.256          135		1
  0  00       98     2847        -        -       705650.040          136		1
  0  00      119     3461        -        -       706308.888          137		1
  0  00      191     5732        -        -       712238.328          138		1
  0  00      154     4845        -        -       717332.728          139		1
  0  00      344     8061        -        -       719551.248          140		1
  0  00       74     1578        -        -       729186.616          141		1
  0  00       77     1454        -        -       730288.672          142		1
  0  00      111     2887        -        -       742224.232          143		1
  0  00      100     2110        -        -       745725.416          144		1
  0  00      107     2632        -        -       748505.176          145		1
  0  00       61     1427        -        -       764333.808          146		1
  0  00       79     1473        -        -       766475.392          147		1
  0  00       72     1489        -        -       791611.352          148		1
  0  00      102     1884        -        -       798626.176          149		1
  0  00      153     4302        -        -       800612.096          150		1
  0  00       85     1447        -        -       800778.872          151		1
  0  00       78     1363        -        -       801403.360          152		1
  0  00       85     1440        -        -       804798.624          153		1
  0  00       69     1545        -        -       823250.960          154		1
  0  00       71     1704        -        -       826686.120          155		1
  0  00      180     5159        -        -       830282.400          156		1
  0  00       73     1495        -        -       845079.880          157		1
  0  00      109     2976        -        -       850293.920          158		1
  0  00       79     1433        -        -       851279.288          159		1
  0  00       94     2034        -        -       852084.672          160		1
  0  00      113     2836        -        -       864338.152          161		1
  0  00       65     1437        -        -       866533.560          162		1
  0  00       67     1503        -        -       881768.888          163		1
  0  00      123     2908        -        -       886603.120          164		1
  0  00       82     1450        -        -       887097.616          165		1
  0  00       77     1435        -        -       891906.096          166		1
  0  00       81     1431        -        -       897823.904          167		1
  0  00      111     3252        -        -       907646.888          168		1
  0  00      171     5337        -        -       913342.784          169		1
  0  00       76     1416        -        -       931243.376          170		1
  0  00      105     2875        -        -       951815.192          171		1
  0  00       69     1761        -        -       955452.288          172		1
  0  00       94     2422        -        -       955580.592          173		1
  0  00      147     3442        -        -       957449.696          174		1
  0  00       83     1486        -        -       958568.192          175		1
  0  00      113     2886        -        -       961658.864          176		1
  0  00       78     1498        -        -       962190.448          177		1
  0  00       86     2410        -        -       968182.616          178		1
  0  00       75     1474        -        -       992264.440          179		1
  0  00      186     5674        -        -       999523.624          180		1
  0  00      138     4257        -        -      1001325.496          181		1
  0  00       72     1585        -        -      1014474.432          182		1
  0  00      121     3231        -        -      1016124.648          183		1
  0  00      110     3075        -        -      1018557.144          184		1
  0  00      126     3421        -        -      1023153.408          185		1
  0  00      150     3872        -        -      1039717.720          186		1
  0  00       99     2750        -        -      1040809.576          187		1
  0  00      314     8061        -        -      1046597.776          188		1
  0  00       69     1752        -        -      1060383.400          189		1
  0  00       75     1622        -        -      1066577.976          190		1
  0  00       66     1663        -        -      1068482.520          191		1
  0  00       80     1591        -        -      1069601.128          192		1
  0  00      245     7704        -        -      1093239.896          193		1
  0  00      145     4071        -        -      1096446.864          194		1
  0  00       83     2130        -        -      1103908.304          195		1
  0  00      100     2734        -        -      1108988.592          196		1
  0  00      120     2932        -        -      1113078.760          197		1
  0  00      121     3364        -        -      1140844.872          198		1
  0  00       82     1608        -        -      1145482.144          199		1
  0  00      161     4699        -        -      1146527.120          200		1
  0  00      100     1914        -        -      1150514.400          201		1
  0  00       74     1466        -        -      1157906.576          202		1
  0  00       69     1407        -        -      1157953.632          203		1
  0  00       99     2461        -        -      1163028.632          204		1
  0  00      114     3641        -        -      1171553.640          205		1
  0  00      161     4778        -        -      1172388.560          206		1
  0  00       91     1885        -        -      1177870.360          207		1
  0  00       79     1673        -        -      1177935.024          208		1
  0  00      126     4179        -        -      1183475.496          209		1
  0  00       61     1471        -        -      1186753.736          210		1
  0  00      140     4801        -        -      1202787.320          211		1
  0  00       96     2635        -        -      1206179.496          212		1
  0  00       64     1397        -        -      1208064.344          213		1
  0  00      225     6729        -        -      1212522.208          214		1
  0  00       86     1425        -        -      1225195.472          215		1
  0  00      130     3433        -        -      1234418.648          216		1
  0  00      114     2922        -        -      1250195.208          217		1
  0  00      177     4768        -        -      1250856.792          218		1
  0  00      125     3406        -        -      1254042.608          219		1
  0  00      122     3605        -        -      1260222.200          220		1
  0  00      100     2388        -        -      1261393.160          221		1
  0  00      148     4482        -        -      1262535.648          222		1
  0  00       72     1879        -        -      1266509.976          223		1
  0  00      119     2913        -        -      1273559.616          224		1
  0  00      149     4323        -        -      1276829.776          225		1
  0  00       83     1465        -        -      1283628.816          226		1
  0  00       66     1482        -        -      1285541.184          227		1
  0  00       69     1464        -        -      1291936.664          228		1
  0  00       65     1385        -        -      1293731.968          229		1
  0  00      116     3097        -        -      1294516.120          230		1
  0  00      133     4079        -        -      1301547.288          231		1
  0  00      164     5064        -        -      1302950.016          232		1
  0  00       70     1437        -        -      1320577.584          233		1
  0  00      209     6196        -        -      1321564.992          234		1
  0  00      174     5448        -        -      1325597.688          235		1
  0  00      127     3737        -        -      1356759.296          236		1
  0  00       75     1420        -        -      1364023.248          237		1
  0  00      119     3797        -        -      1364058.648          238		1
  0  00       91     1481        -        -      1364203.832          239		1
  0  00       71     1488        -        -      1368453.512          240		1
  0  00       78     1373        -        -      1374216.168          241		1
  0  00       84     2102        -        -      1379348.872          242		1
  0  00       75     1463        -        -      1386455.232          243		1
  0  00       73     1434        -        -      1404679.376          244		1
  0  00      102     2595        -        -      1426734.576          245		1
  0  00       84     1454        -        -      1433451.280          246		1
  0  00       90     2265        -        -      1441622.824          247		1
  0  00       83     1481        -        -      1444409.368          248		1
  0  00       79     1889        -        -      1447003.024          249		1
