//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:01:00 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00       61      989        -        -          532.248            0		1
  0  00       61      951        -        -         1222.920            1		1
  0  00       67      990        -        -         2369.672            2		1
  0  00       58      987        -        -         2930.000            3		1
  0  00       70      951        -        -         4004.664            4		1
  0  00       69      949        -        -         5051.160            5		1
  0  00       60      954        -        -         5106.840            6		1
  0  00       67      993        -        -         6094.664            7		1
  0  00       54     1014        -        -         6521.664            8		1
  0  00       58      963        -        -         6643.080            9		1
  0  00       73     1515        -        -         6662.848           10		1
  0  00       55      955        -        -         7283.624           11		1
  0  00       60     1584        -        -         7712.152           12		1
  0  00       66     1157        -        -         8480.248           13		1
  0  00       62     1007        -        -         8826.504           14		1
  0  00       60     1030        -        -         8941.728           15		1
  0  00       58      890        -        -         9080.976           16		1
  0  00       45     1004        -        -         9284.400           17		1
  0  00       66      985        -        -         9501.800           18		1
  0  00       60      843        -        -         9817.224           19		1
  0  00       62     1006        -        -         9956.896           20		1
  0  00       60     1020        -        -        10228.912           21		1
  0  00       57     1447        -        -        10262.576           22		1
  0  00       82     2388        -        -        10967.792           23		1
  0  00       62      993        -        -        11070.024           24		1
  0  00       60      955        -        -        11435.712           25		1
  0  00       52      999        -        -        11848.632           26		1
  0  00       63     1238        -        -        12654.704           27		1
  0  00       70     1144        -        -        12698.944           28		1
  0  00      104     2517        -        -        12738.672           29		1
  0  00       56      998        -        -        13275.184           30		1
  0  00       58      986        -        -        13625.920           31		1
  0  00       84     2031        -        -        13941.120           32		1
  0  00       59     1017        -        -        14274.104           33		1
  0  00       66      978        -        -        14687.848           34		1
  0  00       55      974        -        -        14854.456           35		1
  0  00       65      991        -        -        14897.440           36		1
  0  00       56     1026        -        -        14924.264           37		1
  0  00       70      940        -        -        16113.888           38		1
  0  00       60     1214        -        -        17234.200           39		1
  0  00       78      962        -        -        17767.736           40		1
  0  00       63     1239        -        -        18100.920           41		1
  0  00       71     1049        -        -        18743.768           42		1
  0  00       72      974        -        -        19511.040           43		1
  0  00       51      925        -        -        19598.072           44		1
  0  00       66      946        -        -        19693.720           45		1
  0  00       62     1002        -        -        19890.080           46		1
  0  00       72      972        -        -        19947.464           47		1
  0  00       61      966        -        -        20216.560           48		1
  0  00       72     1028        -        -        23112.696           49		1
  0  00       79      934        -        -        23725.912           50		1
  0  00       65      991        -        -        25010.464           51		1
  0  00       53      992        -        -        25034.936           52		1
  0  00       47      936        -        -        25124.096           53		1
  0  00       71      979        -        -        25810.512           54		1
  0  00       65      991        -        -        26174.248           55		1
  0  00       65      989        -        -        26308.032           56		1
  0  00       69      991        -        -        26621.632           57		1
  0  00       72      969        -        -        27101.584           58		1
  0  00       63     1025        -        -        27551.928           59		1
  0  00       51     1555        -        -        27861.016           60		1
  0  00       65      980        -        -        29785.888           62		1
  0  00       64     1007        -        -        30378.336           63		1
  0  00       64      977        -        -        30476.544           64		1
  0  00       68      986        -        -        31485.040           65		1
  0  00       59      988        -        -        31745.928           66		1
  0  00       73      997        -        -        32728.696           67		1
  0  00      114     3040        -        -        33126.048           68		1
  0  00       51     1008        -        -        33145.480           69		1
  0  00       59      985        -        -        33508.976           70		1
  0  00       60      955        -        -        34159.160           71		1
  0  00      103     2434        -        -        35744.904           72		1
  0  00       61     1082        -        -        38799.128           73		1
  0  00       63     1119        -        -        38976.824           74		1
  0  00       62     1034        -        -        39883.200           75		1
