Board    0
Tmask    0x1
start    150
step     5
Nstep    40
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  345    0.000e+00     0.000e+00     0.000e+00
  340    0.000e+00     0.000e+00     0.000e+00
  335    0.000e+00     0.000e+00     0.000e+00
  330    0.000e+00     0.000e+00     0.000e+00
  325    0.000e+00     0.000e+00     0.000e+00
  320    0.000e+00     0.000e+00     0.000e+00
  315    0.000e+00     0.000e+00     0.000e+00
  310    0.000e+00     0.000e+00     0.000e+00
  305    0.000e+00     0.000e+00     0.000e+00
  300    0.000e+00     0.000e+00     0.000e+00
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    2.000e+00     2.000e+00     0.000e+00
  280    0.000e+00     0.000e+00     0.000e+00
  275    2.000e+00     2.000e+00     0.000e+00
  270    0.000e+00     0.000e+00     0.000e+00
  265    2.000e+00     2.000e+00     0.000e+00
  260    2.000e+00     2.000e+00     0.000e+00
  255    6.000e+00     6.000e+00     0.000e+00
  250    1.600e+01     1.600e+01     0.000e+00
  245    2.000e+01     2.000e+01     0.000e+00
  240    1.400e+01     1.400e+01     0.000e+00
  235    8.600e+01     8.800e+01     0.000e+00
  230    4.520e+02     4.620e+02     0.000e+00
  225    7.440e+02     7.460e+02     0.000e+00
  220    1.004e+03     1.006e+03     0.000e+00
  215    1.054e+03     1.054e+03     0.000e+00
  210    1.074e+03     1.074e+03     0.000e+00
  205    2.728e+03     2.790e+03     0.000e+00
  200    4.892e+04     4.922e+04     0.000e+00
  195    7.615e+04     7.601e+04     0.000e+00
  190    7.613e+04     7.562e+04     0.000e+00
  185    7.781e+04     7.677e+04     0.000e+00
  180    7.696e+04     7.555e+04     0.000e+00
  175    1.596e+05     1.573e+05     0.000e+00
  170    2.661e+07     6.320e+05     0.000e+00
  165    7.285e+06     0.000e+00     0.000e+00
  160    8.121e+04     0.000e+00     0.000e+00
  155    6.170e+03     0.000e+00     0.000e+00
  150    1.158e+03     0.000e+00     0.000e+00
