Board    0
Tmask    0x1
start    150
step     5
Nstep    30
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  295    3.600e+01     3.600e+01     0.000e+00
  290    5.200e+01     5.200e+01     0.000e+00
  285    3.600e+01     3.600e+01     0.000e+00
  280    4.000e+01     4.000e+01     0.000e+00
  275    1.980e+02     2.060e+02     0.000e+00
  270    5.600e+02     5.620e+02     0.000e+00
  265    9.940e+02     9.940e+02     0.000e+00
  260    1.186e+03     1.184e+03     0.000e+00
  255    1.310e+03     1.306e+03     0.000e+00
  250    1.504e+03     1.506e+03     0.000e+00
  245    1.574e+03     1.574e+03     0.000e+00
  240    1.696e+03     1.692e+03     0.000e+00
  235    1.884e+03     1.878e+03     0.000e+00
  230    2.222e+03     2.202e+03     0.000e+00
  225    1.002e+04     1.007e+04     0.000e+00
  220    5.316e+04     5.303e+04     0.000e+00
  215    7.415e+04     7.339e+04     0.000e+00
  210    7.708e+04     7.565e+04     0.000e+00
  205    7.677e+04     7.525e+04     0.000e+00
  200    7.664e+04     7.502e+04     0.000e+00
  195    7.688e+04     7.549e+04     0.000e+00
  190    7.669e+04     7.512e+04     0.000e+00
  185    7.605e+04     7.464e+04     0.000e+00
  180    7.930e+04     7.604e+04     0.000e+00
  175    1.178e+06     9.763e+05     0.000e+00
  170    1.832e+07     3.127e+06     0.000e+00
  165    1.276e+07     0.000e+00     0.000e+00
  160    3.443e+05     0.000e+00     0.000e+00
  155    1.247e+04     0.000e+00     0.000e+00
  150    1.100e+03     0.000e+00     0.000e+00
