Board    0
Tmask    0x1
start    150
step     1
Nstep    200
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  219    1.973e+05     1.942e+05     0.000e+00
  218    1.999e+05     1.964e+05     0.000e+00
  217    2.008e+05     1.969e+05     0.000e+00
  216    2.012e+05     1.970e+05     0.000e+00
  215    2.017e+05     1.973e+05     0.000e+00
  214    2.032e+05     1.986e+05     0.000e+00
  213    2.030e+05     1.982e+05     0.000e+00
  212    2.037e+05     1.986e+05     0.000e+00
  211    2.033e+05     1.982e+05     0.000e+00
  210    2.030e+05     1.977e+05     0.000e+00
  209    2.030e+05     1.979e+05     0.000e+00
  208    2.034e+05     1.980e+05     0.000e+00
  207    2.031e+05     1.975e+05     0.000e+00
  206    2.022e+05     1.969e+05     0.000e+00
  205    2.029e+05     1.976e+05     0.000e+00
  204    2.028e+05     1.974e+05     0.000e+00
  203    2.027e+05     1.974e+05     0.000e+00
  202    2.017e+05     1.963e+05     0.000e+00
  201    2.019e+05     1.968e+05     0.000e+00
  200    2.015e+05     1.963e+05     0.000e+00
  199    2.025e+05     1.973e+05     0.000e+00
  198    2.019e+05     1.968e+05     0.000e+00
  197    2.011e+05     1.960e+05     0.000e+00
  196    2.018e+05     1.968e+05     0.000e+00
  195    2.016e+05     1.965e+05     0.000e+00
  194    2.024e+05     1.973e+05     0.000e+00
  193    2.021e+05     1.967e+05     0.000e+00
  192    2.013e+05     1.956e+05     0.000e+00
  191    2.009e+05     1.951e+05     0.000e+00
  190    2.019e+05     1.961e+05     0.000e+00
  189    2.025e+05     1.967e+05     0.000e+00
  188    2.017e+05     1.961e+05     0.000e+00
  187    2.005e+05     1.953e+05     0.000e+00
  186    2.009e+05     1.957e+05     0.000e+00
  185    2.013e+05     1.956e+05     0.000e+00
  184    2.029e+05     1.964e+05     0.000e+00
  183    2.048e+05     1.973e+05     0.000e+00
  182    2.057e+05     1.963e+05     0.000e+00
  181    2.126e+05     2.009e+05     0.000e+00
  180    2.274e+05     2.128e+05     0.000e+00
  179    2.762e+05     2.565e+05     0.000e+00
  178    4.194e+05     3.813e+05     0.000e+00
  177    8.415e+05     7.175e+05     0.000e+00
  176    1.887e+06     1.430e+06     0.000e+00
  175    3.750e+06     2.465e+06     0.000e+00
  174    7.167e+06     3.894e+06     0.000e+00
  173    1.140e+07     4.890e+06     0.000e+00
  172    1.560e+07     4.889e+06     0.000e+00
  171    1.874e+07     2.681e+06     0.000e+00
  170    2.545e+07     0.000e+00     0.000e+00
  169    2.558e+07     0.000e+00     0.000e+00
  168    2.389e+07     0.000e+00     0.000e+00
  167    1.650e+07     0.000e+00     0.000e+00
  166    1.400e+07     0.000e+00     0.000e+00
  165    1.040e+07     0.000e+00     0.000e+00
  164    6.238e+06     0.000e+00     0.000e+00
  163    2.966e+06     0.000e+00     0.000e+00
  162    1.636e+06     0.000e+00     0.000e+00
  161    1.006e+06     0.000e+00     0.000e+00
  160    6.099e+05     0.000e+00     0.000e+00
  159    3.063e+05     0.000e+00     0.000e+00
  158    1.784e+05     0.000e+00     0.000e+00
  157    1.058e+05     0.000e+00     0.000e+00
  156    6.564e+04     0.000e+00     0.000e+00
  155    4.117e+04     0.000e+00     0.000e+00
  154    2.641e+04     0.000e+00     0.000e+00
  153    1.598e+04     0.000e+00     0.000e+00
  152    9.842e+03     0.000e+00     0.000e+00
  151    6.720e+03     0.000e+00     0.000e+00
  150    4.554e+03     0.000e+00     0.000e+00
