Board    0
Tmask    0x1
start    150
step     5
Nstep    30
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  295    2.000e+00     2.000e+00     0.000e+00
  290    2.000e+00     2.000e+00     0.000e+00
  285    1.200e+01     1.200e+01     0.000e+00
  280    5.600e+01     5.000e+01     0.000e+00
  275    3.400e+01     3.400e+01     0.000e+00
  270    2.000e+01     2.000e+01     0.000e+00
  265    2.000e+01     2.000e+01     0.000e+00
  260    4.800e+01     4.600e+01     0.000e+00
  255    1.040e+02     1.040e+02     0.000e+00
  250    5.480e+02     5.500e+02     0.000e+00
  245    8.480e+02     8.340e+02     0.000e+00
  240    9.220e+02     9.260e+02     0.000e+00
  235    1.122e+03     1.112e+03     0.000e+00
  230    1.288e+03     1.276e+03     0.000e+00
  225    1.266e+03     1.266e+03     0.000e+00
  220    1.334e+03     1.336e+03     0.000e+00
  215    5.338e+03     5.404e+03     0.000e+00
  210    4.818e+04     4.836e+04     0.000e+00
  205    7.411e+04     7.406e+04     0.000e+00
  200    7.536e+04     7.506e+04     0.000e+00
  195    7.552e+04     7.491e+04     0.000e+00
  190    7.662e+04     7.543e+04     0.000e+00
  185    7.630e+04     7.432e+04     0.000e+00
  180    7.742e+04     7.548e+04     0.000e+00
  175    5.486e+05     5.309e+05     0.000e+00
  170    2.077e+07     2.433e+06     0.000e+00
  165    1.241e+07     0.000e+00     0.000e+00
  160    1.482e+05     0.000e+00     0.000e+00
  155    2.162e+04     0.000e+00     0.000e+00
  150    2.420e+03     0.000e+00     0.000e+00
