Board    0
Tmask    0x1
start    150
step     5
Nstep    40
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  345    0.000e+00     0.000e+00     0.000e+00
  340    0.000e+00     0.000e+00     0.000e+00
  335    0.000e+00     0.000e+00     0.000e+00
  330    0.000e+00     0.000e+00     0.000e+00
  325    0.000e+00     0.000e+00     0.000e+00
  320    0.000e+00     0.000e+00     0.000e+00
  315    0.000e+00     0.000e+00     0.000e+00
  310    0.000e+00     0.000e+00     0.000e+00
  305    0.000e+00     0.000e+00     0.000e+00
  300    0.000e+00     0.000e+00     0.000e+00
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    0.000e+00     0.000e+00     0.000e+00
  280    0.000e+00     0.000e+00     0.000e+00
  275    0.000e+00     0.000e+00     0.000e+00
  270    0.000e+00     0.000e+00     0.000e+00
  265    0.000e+00     0.000e+00     0.000e+00
  260    0.000e+00     0.000e+00     0.000e+00
  255    2.000e+00     2.000e+00     0.000e+00
  250    6.000e+00     6.000e+00     0.000e+00
  245    1.200e+01     1.400e+01     0.000e+00
  240    1.200e+01     1.200e+01     0.000e+00
  235    1.600e+01     1.600e+01     0.000e+00
  230    2.400e+01     2.400e+01     0.000e+00
  225    2.560e+02     2.580e+02     0.000e+00
  220    7.020e+02     7.080e+02     0.000e+00
  215    8.600e+02     8.600e+02     0.000e+00
  210    1.012e+03     1.012e+03     0.000e+00
  205    1.052e+03     1.050e+03     0.000e+00
  200    7.008e+03     7.214e+03     0.000e+00
  195    6.322e+04     6.340e+04     0.000e+00
  190    7.694e+04     7.654e+04     0.000e+00
  185    7.805e+04     7.714e+04     0.000e+00
  180    7.847e+04     7.696e+04     0.000e+00
  175    1.544e+05     1.470e+05     0.000e+00
  170    2.828e+07     2.968e+04     0.000e+00
  165    4.576e+06     0.000e+00     0.000e+00
  160    6.811e+04     0.000e+00     0.000e+00
  155    2.068e+03     0.000e+00     0.000e+00
  150    4.400e+02     0.000e+00     0.000e+00
