Board    0
Tmask    0x1
start    150
step     5
Nstep    40
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  345    0.000e+00     0.000e+00     0.000e+00
  340    0.000e+00     0.000e+00     0.000e+00
  335    0.000e+00     0.000e+00     0.000e+00
  330    0.000e+00     0.000e+00     0.000e+00
  325    0.000e+00     0.000e+00     0.000e+00
  320    0.000e+00     0.000e+00     0.000e+00
  315    0.000e+00     0.000e+00     0.000e+00
  310    0.000e+00     0.000e+00     0.000e+00
  305    0.000e+00     0.000e+00     0.000e+00
  300    0.000e+00     0.000e+00     0.000e+00
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    0.000e+00     0.000e+00     0.000e+00
  280    0.000e+00     0.000e+00     0.000e+00
  275    0.000e+00     0.000e+00     0.000e+00
  270    0.000e+00     0.000e+00     0.000e+00
  265    0.000e+00     0.000e+00     0.000e+00
  260    2.000e+00     2.000e+00     0.000e+00
  255    2.000e+00     2.000e+00     0.000e+00
  250    2.000e+01     2.000e+01     0.000e+00
  245    1.600e+01     1.600e+01     0.000e+00
  240    1.200e+01     1.200e+01     0.000e+00
  235    8.000e+00     8.000e+00     0.000e+00
  230    9.600e+01     1.000e+02     0.000e+00
  225    5.340e+02     5.340e+02     0.000e+00
  220    7.680e+02     7.680e+02     0.000e+00
  215    8.560e+02     8.600e+02     0.000e+00
  210    1.070e+03     1.070e+03     0.000e+00
  205    1.160e+03     1.168e+03     0.000e+00
  200    1.792e+04     1.823e+04     0.000e+00
  195    7.237e+04     7.235e+04     0.000e+00
  190    7.677e+04     7.634e+04     0.000e+00
  185    7.760e+04     7.664e+04     0.000e+00
  180    7.738e+04     7.585e+04     0.000e+00
  175    1.593e+05     1.569e+05     0.000e+00
  170    2.793e+07     2.700e+05     0.000e+00
  165    5.144e+06     0.000e+00     0.000e+00
  160    7.299e+04     0.000e+00     0.000e+00
  155    2.732e+03     0.000e+00     0.000e+00
  150    7.320e+02     0.000e+00     0.000e+00
