Board    0
Tmask    0x1
start    150
step     2
Nstep    100
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  348    0.000e+00     0.000e+00     0.000e+00
  346    0.000e+00     0.000e+00     0.000e+00
  344    0.000e+00     0.000e+00     0.000e+00
  342    4.000e+00     4.000e+00     0.000e+00
  340    0.000e+00     0.000e+00     0.000e+00
  338    0.000e+00     0.000e+00     0.000e+00
  336    2.000e+00     2.000e+00     0.000e+00
  334    6.000e+00     6.000e+00     0.000e+00
  332    8.000e+00     8.000e+00     0.000e+00
  330    1.000e+01     1.000e+01     0.000e+00
  328    6.000e+00     6.000e+00     0.000e+00
  326    2.000e+01     2.000e+01     0.000e+00
  324    2.000e+01     2.000e+01     0.000e+00
  322    1.600e+01     1.600e+01     0.000e+00
  320    1.600e+01     1.600e+01     0.000e+00
  318    2.600e+01     2.600e+01     0.000e+00
  316    1.600e+01     1.600e+01     0.000e+00
  314    3.400e+01     3.400e+01     0.000e+00
  312    3.600e+01     3.600e+01     0.000e+00
  310    2.800e+01     2.800e+01     0.000e+00
  308    4.400e+01     4.400e+01     0.000e+00
  306    2.800e+01     2.800e+01     0.000e+00
  304    6.200e+01     6.200e+01     0.000e+00
  302    3.800e+01     3.800e+01     0.000e+00
  300    5.400e+01     5.400e+01     0.000e+00
  298    4.600e+01     4.600e+01     0.000e+00
  296    3.800e+01     3.800e+01     0.000e+00
  294    4.600e+01     4.400e+01     0.000e+00
  292    4.400e+01     4.400e+01     0.000e+00
  290    5.000e+01     5.000e+01     0.000e+00
  288    4.000e+01     4.000e+01     0.000e+00
  286    7.800e+01     7.800e+01     0.000e+00
  284    9.400e+01     9.400e+01     0.000e+00
  282    2.180e+02     2.200e+02     0.000e+00
  280    3.760e+02     3.780e+02     0.000e+00
  278    5.100e+02     5.120e+02     0.000e+00
  276    6.540e+02     6.560e+02     0.000e+00
  274    9.020e+02     9.020e+02     0.000e+00
  272    9.200e+02     9.160e+02     0.000e+00
  270    1.042e+03     1.042e+03     0.000e+00
  268    1.082e+03     1.082e+03     0.000e+00
  266    1.248e+03     1.246e+03     0.000e+00
  264    1.260e+03     1.260e+03     0.000e+00
  262    1.228e+03     1.228e+03     0.000e+00
  260    1.288e+03     1.288e+03     0.000e+00
  258    1.432e+03     1.430e+03     0.000e+00
  256    1.526e+03     1.528e+03     0.000e+00
  254    1.480e+03     1.480e+03     0.000e+00
  252    1.578e+03     1.576e+03     0.000e+00
  250    1.628e+03     1.622e+03     0.000e+00
  248    1.802e+03     1.794e+03     0.000e+00
  246    1.614e+03     1.606e+03     0.000e+00
  244    1.654e+03     1.652e+03     0.000e+00
  242    1.932e+03     1.924e+03     0.000e+00
  240    2.006e+03     1.996e+03     0.000e+00
  238    2.056e+03     2.046e+03     0.000e+00
  236    2.210e+03     2.198e+03     0.000e+00
  234    2.428e+03     2.418e+03     0.000e+00
  232    3.726e+03     3.714e+03     0.000e+00
  230    6.932e+03     6.946e+03     0.000e+00
  228    1.499e+04     1.504e+04     0.000e+00
  226    2.977e+04     2.984e+04     0.000e+00
  224    4.712e+04     4.702e+04     0.000e+00
  222    6.167e+04     6.136e+04     0.000e+00
  220    6.940e+04     6.879e+04     0.000e+00
  218    7.189e+04     7.095e+04     0.000e+00
  216    7.334e+04     7.214e+04     0.000e+00
  214    7.330e+04     7.203e+04     0.000e+00
  212    7.403e+04     7.254e+04     0.000e+00
  210    7.419e+04     7.268e+04     0.000e+00
  208    7.359e+04     7.207e+04     0.000e+00
  206    7.349e+04     7.181e+04     0.000e+00
  204    7.368e+04     7.204e+04     0.000e+00
  202    7.401e+04     7.249e+04     0.000e+00
  200    7.393e+04     7.235e+04     0.000e+00
  198    7.345e+04     7.201e+04     0.000e+00
  196    7.408e+04     7.255e+04     0.000e+00
  194    7.387e+04     7.213e+04     0.000e+00
  192    7.403e+04     7.202e+04     0.000e+00
  190    7.417e+04     7.173e+04     0.000e+00
  188    7.468e+04     7.234e+04     0.000e+00
  186    7.424e+04     7.202e+04     0.000e+00
  184    7.449e+04     7.186e+04     0.000e+00
  182    7.986e+04     7.568e+04     0.000e+00
  180    1.100e+05     1.013e+05     0.000e+00
  178    3.520e+05     3.090e+05     0.000e+00
  176    2.004e+06     1.473e+06     0.000e+00
  174    7.572e+06     4.048e+06     0.000e+00
  172    1.638e+07     4.975e+06     0.000e+00
  170    2.514e+07     0.000e+00     0.000e+00
  168    2.291e+07     0.000e+00     0.000e+00
  166    1.493e+07     0.000e+00     0.000e+00
  164    7.002e+06     0.000e+00     0.000e+00
  162    1.250e+06     0.000e+00     0.000e+00
  160    3.088e+05     0.000e+00     0.000e+00
  158    7.301e+04     0.000e+00     0.000e+00
  156    2.267e+04     0.000e+00     0.000e+00
  154    8.090e+03     0.000e+00     0.000e+00
  152    2.846e+03     0.000e+00     0.000e+00
  150    1.156e+03     0.000e+00     0.000e+00
