Board    0
Tmask    0x1
start    150
step     5
Nstep    30
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  295    0.000e+00     0.000e+00     0.000e+00
  290    0.000e+00     0.000e+00     0.000e+00
  285    0.000e+00     0.000e+00     0.000e+00
  280    4.000e+00     4.000e+00     0.000e+00
  275    4.000e+00     4.000e+00     0.000e+00
  270    6.000e+00     6.000e+00     0.000e+00
  265    2.000e+01     2.000e+01     0.000e+00
  260    1.400e+01     1.400e+01     0.000e+00
  255    4.000e+00     4.000e+00     0.000e+00
  250    2.800e+01     3.200e+01     0.000e+00
  245    2.040e+02     2.100e+02     0.000e+00
  240    6.080e+02     6.120e+02     0.000e+00
  235    8.160e+02     8.180e+02     0.000e+00
  230    9.240e+02     9.240e+02     0.000e+00
  225    1.070e+03     1.070e+03     0.000e+00
  220    1.134e+03     1.134e+03     0.000e+00
  215    1.292e+03     1.294e+03     0.000e+00
  210    7.376e+03     7.514e+03     0.000e+00
  205    5.584e+04     5.602e+04     0.000e+00
  200    7.534e+04     7.530e+04     0.000e+00
  195    7.538e+04     7.506e+04     0.000e+00
  190    7.588e+04     7.521e+04     0.000e+00
  185    7.618e+04     7.503e+04     0.000e+00
  180    7.710e+04     7.500e+04     0.000e+00
  175    3.367e+05     3.310e+05     0.000e+00
  170    2.274e+07     1.788e+06     0.000e+00
  165    1.172e+07     0.000e+00     0.000e+00
  160    1.153e+05     0.000e+00     0.000e+00
  155    1.592e+04     0.000e+00     0.000e+00
  150    1.794e+03     0.000e+00     0.000e+00
