Board    0
Tmask    0x1
start    150
step     5
Nstep    30
time     0.500000

THRESHOLD    CH[0]    T_OR_cnt    Q_OR_cnt
  295    3.800e+01     3.600e+01     0.000e+00
  290    1.800e+01     1.800e+01     0.000e+00
  285    5.000e+01     4.200e+01     0.000e+00
  280    5.400e+01     4.600e+01     0.000e+00
  275    7.400e+01     6.600e+01     0.000e+00
  270    6.800e+01     6.600e+01     0.000e+00
  265    3.280e+02     3.300e+02     0.000e+00
  260    7.380e+02     7.360e+02     0.000e+00
  255    1.038e+03     1.024e+03     0.000e+00
  250    1.106e+03     1.104e+03     0.000e+00
  245    1.196e+03     1.182e+03     0.000e+00
  240    1.286e+03     1.280e+03     0.000e+00
  235    1.534e+03     1.522e+03     0.000e+00
  230    1.484e+03     1.486e+03     0.000e+00
  225    2.068e+03     2.068e+03     0.000e+00
  220    1.641e+04     1.653e+04     0.000e+00
  215    6.097e+04     6.099e+04     0.000e+00
  210    7.424e+04     7.390e+04     0.000e+00
  205    7.539e+04     7.486e+04     0.000e+00
  200    7.641e+04     7.518e+04     0.000e+00
  195    7.784e+04     7.623e+04     0.000e+00
  190    7.677e+04     7.502e+04     0.000e+00
  185    7.637e+04     7.474e+04     0.000e+00
  180    7.691e+04     7.547e+04     0.000e+00
  175    9.168e+05     8.318e+05     0.000e+00
  170    1.885e+07     3.049e+06     0.000e+00
  165    1.267e+07     0.000e+00     0.000e+00
  160    2.539e+05     0.000e+00     0.000e+00
  155    2.609e+04     0.000e+00     0.000e+00
  150    3.952e+03     0.000e+00     0.000e+00
